神明苑,Shinmeisono
神明駅,Shinmeieki
神明苑前,Shinmeianekimae
アルプラザ前,Arupurazamae
アイアイ鯖江,Aiaisabae
長泉寺,Tyousenji
リハビリテーション病院前,Rehabilitation byouinmae
本町4丁目,Honmachi yontyoume
本山前,Motoyamamae
JR鯖江駅,JR sabaeeki
本町１丁目,Honmachi icchoume
本町２丁目,Honmachi ni choume
市民ホールつつじ前,Shiminholetutujimae
西鯖江駅前,Nishisabaeekimae
サバエ・シティーホテル前,Sabae・cityhotelmae
西山公園,Nishiyamakouen
市役所前,Shiyakusyomae
鯖江郵便局,Sabaeyuubinkyoku
水落町１丁目,Mizuochichou icchoume
北野町１丁目,Kitanomachi icchoume
北野町２丁目,Kitanomachi nichoume
公立丹南病院前,Kouritutannanbyouinmae
神明公民館,Shinmeikouminkan
ふくしん神明支店前,Fukushinshinmeishitenmae長泉寺,
JR鯖江駅,JR sabaeeki
本町１丁目,Honmachi icchoume
本町２丁目,Honmachi ni choume
市民ホールつつじ前,Shiminholetutujimae
西鯖江駅前,Nishisabaeekimae
嚮陽会館,Kyouhikaikanmae
高年大学,Kounendaigaku
落井口,Ochiiguchi
松成,Matsunari
中野町松成,Nakanochoumatsunari
樋口,Higuchi
中河小学校前,Nakagawasyougakkoumae
リハビリテーション病院前,Rehabilitation byouinmae
新出,Niide
上河端,Kamikoubata
曲木,Mageki
落井,Ochii
磯部口,Isobeguchi
磯部,Isobe
中戸口,Nakatonokuchi
上戸口,Kamitonokuchi
上戸口北,Kamitonokuchikita
中戸口南,Nakatonokuchiminami
戸口,Tokuchi
別司口,Besshikuchi
別司,Besshi
河和田口,Kawawadaguchi
河和田,Kawawada
莇生田口,Azoudaguchi
河和田コミュニティセンター,kawawada community center
うるしの里会館,Urushinosatokaikan
西袋,Nishibukuro
椿坂,Tsubakizaka
河和田小学校前,Kawawadasyougakkoumae
金谷口,Kaneyaguchi
金谷,Kaneya
北中,Kitachuu
寺中,Jichuu
尾花,Obana
ラポーゼかわだ,Rapozekawada
天屋橋,Tenyabasi
上河内,Kanikawachi
鉱泉前,KousenmaeJR鯖江駅,JR sabaeeki
本町１丁目,Honmachi icchoume
本町２丁目,Honmachi ni choume
市民ホールつつじ前,Shiminholetutujimae
西鯖江駅前,Nishisabaeekimae
嚮陽会館,Kyouhikaikanmae
小黒町,Koguromachi
鯖江中学校,Sabaechuugakkou
丹南高校,Tannankoukou小泉,Koizumi
神明駅,Shinmeieki
神明苑,Shinmeisono
北野町１丁目,Kitanomachi icchoume
北野町２丁目,Kitanomachi nichoume
公立丹南病院前,Kouritutannanbyouinmae
神明公民館,Shinmeikouminkan
ふくしん神明支店前,Fukushinshinmeishitenmae
石田中,Ishidanaka
きくかわ北野店前,Kikukawakitanotenmae
平井,Hirai
吉川公民館,Yoshikwasyougakkou
吉田,Yoshida
あすなろ,Asunaro
朝霞,Asagasumi
西和,Seiwa
西大井,Nishiooi
持明寺,Jimyouji
持明寺北,Jimyoujikita
川去,Kawasari
川去町集落センター前,Kawasarichousyuurakucentermae
田村,Tamura
吉川駐在所前,Yoshikawatyuuzaisyomae
大倉,Ookura
小泉団地,KoizumidanchiJR鯖江駅,JR sabaeeki
本町１丁目,Honmachi icchoume
本町２丁目,Honmachi ni choume
市民ホールつつじ前,Shiminholetutujimae
西鯖江駅前,Nishisabaeekimae
嚮陽会館,Kyouhikaikanmae
五郎丸,Goroumaru
鯖江東小学校,Sabaehigashishougakkou
下新庄,Shimoshinjou
下新庄公民館,Shimoshinhoukouminkan
新町,Shinmachi
斉藤病院前,Saitoubyouinmae
文化センター,Bunkacenter
体育館西,Taiikukannishi
柳町３丁目,Yanagimatisanchoume
柳町１丁目（南）,Yanagimachi icchoume
横越,Yokogoshi
JR鯖江駅,JR sabaeeki
本町１丁目,Honmachi icchoume
本町２丁目,Honmachi ni choume
市民ホールつつじ前,Shiminholetutujimae
西鯖江駅前,Nishisabaeekimae
嚮陽会館,Kyouhikaikanmae
柳町３丁目,Yanagimatisanchoume
柳町１丁目,Yanagimachi icchoume
高年大学,Kounendaigaku
磯部口,Isobeguchi
戸口,Tokuchi
別司口,Besshikuchi
別司,Besshi
河和田口,Kawawadaguchi
河和田,Kawawada
莇生田口,Azoudaguchi
河和田コミュニティセンター,kawawada community center
うるしの里会館,Urushinosatokaikan
西袋,Nishibukuro
椿坂,Tsubakizaka
河和田小学校前,Kawawadasyougakkoumae
金谷口,Kaneyaguchi
金谷,Kaneya
北中,Kitachuu
寺中,Jichuu
尾花,Obana
ラポーゼかわだ,Rapozekawada
天屋橋,Tenyabasi
上河内,Kanikawachi
鉱泉前,Kousenmae
体育館北,Taiikukankita
横越西,Yokogoenishi
斉藤病院北,Saitoubyouinkita
出口,Deguchi
中河駐在所前,Nakagawachuuzaisyomae
花出,Hanade
原,Hara
川島西,Kawashimanishi
川島,Kawashima
川島東,Kawashimahigashi
北中公民館前,Kitanakakouminkanmae
川島バイパス,Kawashimabaipasu
落居バイパス,Ochiibaipasu
ハニー東陽店前,Haniitouyoutenmae
戸口バイパス,Toguchibaipasu
別司バイパス,Besshibaipasu
河和田西バイパス,Kawawadanishibaipasu
うるしの里会館前,Urushinosatokaikanmae神明駅,Kaminakaeki
神明苑前,Kaminakasonomae
越のゆ前,Koshinoyumae
神中町１丁目,Kamiinakachou icchoume
神中町２丁目,Kaminakachou nichoume
JR北鯖江駅東口,JR kitasabaeekihigashiguti
下河端西,Shimokoubatanishi
下河端南,Shimokoubataminami